Ponto Arquivo;Lat_1;Lon_1
Aluminio;-23.509451;-47.278907
Araçoiaba da Serra;-23.510341;-47.563413
Aruja SP;-23.415635;-46.364916
Aruja SP;-23.413229;-46.361035
Autoban: Caieiras/SP;-23.347161;-46.813185
Autoban: Itupeva/SP;-23.058942;-47.04591
Autoban: Limeira/SP A;-22.509448;-47.395881
Autoban: Limeira/SP B;-22.555416;-47.458581
Autoban: Nova Odessa/SP;-22.771759;-47.240021
Autoban: Perus/SP;-23.419453;-46.799733
Autoban: Sumaré/SP;-22.857517;-47.300479
Autoban: Valinhos/SP Norte;-23.012923;-47.023135
Autoban: Valinhos/SP Sul;-23.020353;-47.018795
Autoban:Campo Limpo/SP;-23.322893;-46.823244
Barueri;-23.510222;-46.8172
Céu Azul RFB;-25.179012;-53.876139
Ecocataratas - Candói;-25.443729;-51.85904
Ecocataratas - Cascavel;-25.021677;-53.278742
Ecocataratas - Céu Azul;-25.084119;-53.713499
Ecocataratas - Laranjeiras Sul;-25.347097;-52.491102
Ecocataratas - S.Miguel Iguaçu;-25.427135;-54.364117
Econorte - Pedágio de Jataizinho;-23.003945;-49.909713
Econorte - Pedágio de Sertaneja;-22.915643;-50.817294
Ecovias - São José dos Pinhais/PR;-25.551969;-49.03673
Guaíra RFB;-24.073791;-54.245473
Guararema SP;-23.338968;-46.150162
Guararema SP;-23.346402;-46.164859
Irati;-25.6207185;-50.4770807
Itapevi;-23.518037;-46.940634
Itatiaia RJ;-22.494975;-44.569653
Itu;-23.406562;-47.301652
Jacareí SP;-23.296697;-46.007339
Moreira Cesar SP;-22.930206;-45.360896
MS Vias - Caarapó;-22.475649;-54.861227
MS Vias - Campo Grande ;-20.882882;-54.504718
MS Vias - Itaquiraí;-23.16759;-54.199067
MS Vias - Jaraguari;-20.040829;-54.412769
MS Vias - Mundo Novo;-23.86535;-54.330143
MS Vias - P_Gomes/Sonora;-17.765183;-54.751125
MS Vias - Rio Brilhante;-21.865098;-54.52862
MS Vias - Rio Verde;-18.722744;-54.815059
MS Vias - São Gabriel;-19.474359;-54.496934
Multilog - Campinas;-22.875631;-47.125536
Multilog - Itajaí;-26.950722;-48.752829
Multilog - Santos;-23.925839;-46.376259
Osasco;-23.510145;-46.817241
Pedágio Araguari/MG I;-18.539448;-48.046784
Pedágio Araguari/MG II;-18.749832;-48.23557
Pedágio Batistini/SP;-23.763753;-46.581521
Pedágio Campo Alegre de Goiás/GO;-17.772037;-47.749935
Pedágio de Ipameri/GO;-17.121194;-47.721509
Pedágio de Uberaba/MG;-19.180731;-48.15743
Pedágio Delta/MG;-19.915766;-47.829284
Pedágio Diadema/SP;-23.681663;-46.611081
Pedágio Eldorado/SP;-23.71802;-46.605902
Pedágio Piratininga/SP;-23.820685;-46.582664
Pedágio Piratininga/SP;-22.451698;-49.170437
Pedágio Riacho Grande/SP;-23.789359;-46.519566
Pedágio Santos/SP;-23.894882;-46.302135
Pedágio São Vicente/SP;-23.939395;-46.463707
PIA - Foz do Iguaçu - RFB;-25.51;-54597
Porto Amazonas;-25.468387;-49.903294
Relógio;-25.3199393;-51.082333
Rodonorte Carambeí;-24.912182;-50.086721
Rodonorte Imbaú;-24.382256;-50.790422
Rodonorte Jaguariaiva;-24.319468;-49.77877
Rodonorte Ortigueira;-24.03447;-51.089044
Rodonorte Purunã;-25.471811;-49.661988
Rodonorte Tibagi;-24.923655;-50.409029
Rodonorte Witmarsun;-25.346858;-49.843154
São Roque;-23.599502;-47.038797
Sorocaba;-23.411463;-47.341896
SP Vias Morro Alto - S;-23.470878;-47.968072
SP Vias: Alambari;-23.552774;-47.777752
SP Vias: Avaré;-22.980956;-48.822995
SP Vias: Buri;-23.938552;-48.571066
Sp Vias: Gramadão;-23.873731;-48.242284
SP Vias: Iaras;-22.875062;-49.144601
SP Vias: Itararé;-24.090786;-49.227245
SP Vias: Itatinga;-23.082852;-48.515081
SP Vias: Morro Alto N;-23.434693;-47.938135
Sta Terezinha RFB;-25.465857;-54.45
Viapar - Arapongas;-23.360982;-51.399091
Viapar - Campo Mourão;-24.197763;-52.501062
Viapar - Corbélia;-24.745555;-53.268702
Viapar - Floresta;-23.636458;-52.107581
Viapar - Marialva;-23.505666;-51.739216
Viapar - Pres. Castelo Branco;-23.292144;-52.127779
Viúva Graça RJ;-22.71632;-43.716882
